lsl_time,tar,theta,alpha,artifact,unity_event_tag
13758.973843200007,2.6337,853.13,323.93,0,
13759.286480100007,2.4371,702.78,288.37,0,
13759.595061700007,1.1548,366.79,317.61,0,
13759.912071800007,0.6267,185.80,296.49,0,
13760.210582200007,0.7191,193.96,269.74,0,
13760.521168800007,1.7178,707.27,411.72,0,
13760.830809700008,2.4260,1324.96,546.14,0,
13761.124476000008,2.5940,1166.37,449.65,0,
13761.437213100007,1.7962,558.05,310.69,0,
13761.706136000008,0.9063,261.06,288.04,0,
13762.038151300007,0.5319,134.52,252.91,0,
13762.345050500007,0.6149,140.86,229.08,0,
13762.665483200008,0.6475,141.24,218.14,0,
13762.962585200008,0.4697,91.55,194.91,0,
13763.279221300007,0.3545,72.13,203.46,0,
13763.575795800007,0.2419,59.05,244.14,0,
13763.874042600008,0.1041,34.03,326.84,0,
13764.178250600007,0.0545,20.60,377.93,0,
13764.464275100006,0.0658,27.08,411.48,0,
13764.811997600007,0.1247,53.11,426.09,0,
13765.085486900007,0.2979,116.79,392.12,0,
13765.394380000007,0.5560,204.15,367.21,0,
13765.723296700007,0.4954,195.99,395.58,0,
13766.029201200008,0.2959,121.70,411.28,0,
13766.296431300007,0.2424,90.60,373.76,0,
13766.608319400008,0.2745,75.24,274.08,0,
13766.937453100007,0.2468,54.04,218.99,0,
13767.223601600008,0.2220,47.01,211.71,0,
13767.545438800007,0.3012,44.94,149.20,0,
13767.859955400007,0.5402,42.78,79.18,0,
13768.158165900008,0.4742,44.41,93.64,0,
13768.477581600007,0.3033,48.71,160.59,0,
13768.741711200008,0.2752,52.67,191.41,0,
13769.057217400008,0.3590,58.64,163.35,0,
13769.465141100007,-1.0000,0.00,0.00,1,
13769.793029400007,-1.0000,0.00,0.00,1,
13770.056023300007,-1.0000,0.00,0.00,1,
13770.396278300008,-1.0000,0.00,0.00,1,
13770.676585000007,-1.0000,0.00,0.00,1,
13770.987901400007,3.9260,1079.97,275.08,0,
13771.310872000007,-1.0000,0.00,0.00,1,
13771.597906700008,-1.0000,0.00,0.00,1,
13771.924672700008,0.5594,218.84,391.22,0,
13772.218501100007,0.8360,211.09,252.49,0,
13772.528771800007,0.7258,132.59,182.68,0,
13772.857810900006,0.3574,96.65,270.38,0,
13773.122668000007,0.3255,101.44,311.59,0,Baseline_EO_Start
13773.452902900008,0.3800,98.78,259.95,0,Baseline_EO_Start
13773.746208300006,0.3843,79.78,207.61,0,Baseline_EO_Start
13774.061402100007,0.4919,77.71,157.99,0,Baseline_EO_Start
13774.347208600007,0.8949,117.96,131.81,0,Baseline_EO_Start
13774.655965800008,0.8713,150.82,173.09,0,Baseline_EO_Start
13774.977017400008,0.4510,127.23,282.10,0,Baseline_EO_Start
13775.292393300007,0.2506,95.69,381.79,0,Baseline_EO_Start
13775.573498600008,0.1764,63.99,362.74,0,Baseline_EO_Start
13775.889482200007,0.1108,24.59,221.99,0,Baseline_EO_Start
13776.171532800006,0.0891,10.75,120.71,0,Baseline_EO_Start
13776.494390000007,0.0901,10.59,117.61,0,Baseline_EO_Start
13776.813171100008,0.0861,20.18,234.47,0,Baseline_EO_Start
13777.120341900007,0.1233,43.81,355.41,0,Baseline_EO_Start
13777.436157300008,0.1855,56.32,303.67,0,Baseline_EO_Start
13777.741857800007,0.2566,50.78,197.92,0,Baseline_EO_Start
13778.042400500008,0.2545,45.36,178.21,0,Baseline_EO_Start
13778.326775800007,0.1939,48.20,248.61,0,Baseline_EO_Start
13778.651337200008,0.1814,57.21,315.47,0,Baseline_EO_Start
13778.919851700008,0.2405,73.33,304.96,0,Baseline_EO_Start
13779.240261300007,0.2493,71.98,288.77,0,Baseline_EO_Start
13779.557943400006,0.1740,53.57,307.86,0,Baseline_EO_Start
13779.880655200008,0.1420,46.01,323.96,0,Baseline_EO_Start
13780.174523800008,0.1765,50.59,286.66,0,Baseline_EO_Start
13780.485958300007,0.3223,58.33,180.97,0,Baseline_EO_Start
13780.797267100008,0.5245,60.82,115.96,0,Baseline_EO_Start
13781.098008700008,0.4550,57.04,125.35,0,Baseline_EO_Start
13781.412628900007,0.3753,56.64,150.93,0,Baseline_EO_Start
13781.721307200007,0.5855,65.96,112.67,0,Baseline_EO_Start
13782.094837600007,1.2412,72.96,58.78,0,Baseline_EO_Start
13782.400307700007,0.9192,59.11,64.31,0,Baseline_EO_Start
13782.713552300007,0.4817,41.09,85.30,0,Baseline_EO_Start
13783.041644500006,0.3113,29.98,96.32,0,Baseline_EO_Start
13783.345786900007,0.3057,32.48,106.27,0,Baseline_EO_Start
13783.638702300008,0.4603,54.19,117.72,0,Baseline_EO_Start
13783.945611600007,0.6504,82.40,126.68,0,Baseline_EO_Start
13784.237117600007,0.6546,91.15,139.26,0,Baseline_EO_Start
13784.551812800008,0.6728,100.88,149.93,0,Baseline_EO_Start
13784.868402100008,0.8570,98.55,114.99,0,Baseline_EO_Start
13785.165379700007,0.8856,67.45,76.16,0,Baseline_EO_Start
13785.483179500006,0.7000,50.96,72.81,0,Baseline_EO_Start
13785.748394100006,0.5535,57.52,103.93,0,Baseline_EO_Start
13786.076441800007,0.3577,49.20,137.55,0,Baseline_EO_Start
13786.391895700008,0.2691,33.79,125.56,0,Baseline_EO_Start
13786.674454800008,0.2432,26.64,109.54,0,Baseline_EO_Start
13787.012665000007,0.1837,20.48,111.52,0,Baseline_EO_Start
13787.317862500007,0.1425,14.04,98.55,0,Baseline_EO_Start
13787.632557800007,0.1111,9.03,81.32,0,Baseline_EO_Start
13787.936029600007,0.0914,8.05,88.06,0,Baseline_EO_Start
13788.224505500008,0.0668,8.53,127.78,0,Baseline_EO_Start
13788.544889500008,0.0492,9.24,187.84,0,Baseline_EO_Start
13788.814760900008,0.0698,14.84,212.72,0,Baseline_EO_Start
13789.138322900008,0.1456,26.08,179.06,0,Baseline_EO_Start
13789.466140000008,0.3911,73.17,187.07,0,Baseline_EO_Start
13789.756770700007,0.5552,159.96,288.10,0,Baseline_EO_Start
13790.063514700007,0.6047,208.03,344.02,0,Baseline_EO_Start
13790.348994400007,0.5362,151.17,281.91,0,Baseline_EO_Start
13790.675491200007,0.3390,67.17,198.12,0,Baseline_EO_Start
13790.987166000008,0.3235,40.22,124.31,0,Baseline_EO_Start
13791.259682400007,0.5381,53.49,99.40,0,Baseline_EO_Start
13791.596621100007,0.4070,78.05,191.77,0,Baseline_EO_Start
13791.904212600008,0.3189,95.78,300.34,0,Baseline_EO_Start
13792.196807900007,0.3615,95.03,262.87,0,Baseline_EO_Start
13792.501926900008,0.5269,70.96,134.68,0,Baseline_EO_Start
13792.833559100007,0.3934,43.15,109.69,0,Baseline_EO_Start
13793.102068400007,0.1507,30.73,203.90,0,Baseline_EO_Start
13793.392803100007,0.0961,27.31,284.23,0,Baseline_EO_Start
13793.740178500007,0.1622,33.33,205.51,0,Baseline_EO_Start
13794.054423500007,0.4514,41.61,92.19,0,Baseline_EO_Start
13794.339675500007,0.6276,50.53,80.52,0,Baseline_EO_Start
13794.633849300008,0.4931,51.00,103.42,0,Baseline_EO_Start
13794.928423000007,0.3287,37.45,113.92,0,Baseline_EO_Start
13795.260258200007,0.2838,28.34,99.83,0,Baseline_EO_Start
13795.529913000008,0.3408,26.61,78.10,0,Baseline_EO_Start
13795.851205500006,0.4614,26.97,58.45,0,Baseline_EO_Start
13796.180082600007,0.8096,51.27,63.32,0,Baseline_EO_Start
13796.493603900008,0.8707,102.00,117.15,0,Baseline_EO_Start
13796.781874600007,0.6602,138.38,209.59,0,Baseline_EO_Start
13797.082376600007,0.5133,132.93,258.99,0,Baseline_EO_Start
13797.376347300007,0.4756,103.12,216.83,0,Baseline_EO_Start
13797.707641200008,0.3980,79.10,198.73,0,Baseline_EO_Start
13798.013779500006,0.2997,68.64,229.00,0,Baseline_EO_Start
13798.304899600007,0.3444,66.23,192.28,0,Baseline_EO_Start
13798.617269700007,0.8259,79.85,96.69,0,Baseline_EO_Start
13798.936900900007,2.4290,170.99,70.39,0,Baseline_EO_Start
13799.251935000008,2.1623,268.27,124.07,0,Baseline_EO_Start
13799.533703700008,1.4439,225.81,156.39,0,Baseline_EO_Start
13799.856129100008,0.8537,120.80,141.50,0,Baseline_EO_Start
13800.168231900007,0.6766,88.00,130.07,0,Baseline_EO_Start
13800.482542600008,0.4604,82.37,178.90,0,Baseline_EO_Start
13800.769142800007,0.2878,67.04,232.90,0,Baseline_EO_Start
13801.078995300008,0.1875,40.87,217.93,0,Baseline_EO_Start
13801.373939300007,0.1771,26.71,150.82,0,Baseline_EO_Start
13801.683930900008,0.2095,21.87,104.37,0,Baseline_EO_Start
13802.007809300007,0.2314,22.46,97.07,0,Baseline_EO_Start
13802.299799400007,0.2238,19.69,87.99,0,Baseline_EO_Start
13802.618322400007,0.1534,12.23,79.72,0,Baseline_EO_Start
13802.890817100008,0.1541,11.37,73.79,0,Baseline_EO_Start
13803.202078700007,0.3791,21.94,57.86,0,Baseline_EO_Start
13803.533268300007,0.5774,29.49,51.08,0,Baseline_EO_Start
13803.821851600007,0.4581,26.84,58.60,0,Baseline_EO_Start
13804.139968300007,0.4209,23.24,55.21,0,Baseline_EO_Start
13804.456104500006,0.6551,23.52,35.91,0,Baseline_EO_Start
13804.767019600007,1.1054,31.24,28.26,0,Baseline_EO_Start
13805.059430800007,1.0817,42.44,39.24,0,Baseline_EO_Start
13805.361982600007,0.3890,40.66,104.51,0,Baseline_EO_Start
13805.675745400007,0.1215,24.02,197.76,0,Baseline_EO_Start
13805.974998100008,0.0786,17.80,226.64,0,Baseline_EO_Start
13806.276881300008,0.1804,30.68,170.06,0,Baseline_EO_Start
13806.601788200007,0.3854,52.88,137.20,0,Baseline_EO_Start
13806.899847500008,0.4436,73.87,166.53,0,Baseline_EO_Start
13807.215658700008,0.4184,99.39,237.57,0,Baseline_EO_Start
13807.502330600008,0.3264,111.01,340.11,0,Baseline_EO_Start
13807.801722700007,0.3083,103.30,335.04,0,Baseline_EO_Start
13808.135850900007,0.2548,74.81,293.60,0,Baseline_EO_Start
13808.442212800008,0.1302,40.24,309.03,0,Baseline_EO_Start
13808.724812300008,0.0622,17.94,288.47,0,Baseline_EO_Start
13809.032059800007,0.0811,17.23,212.52,0,Baseline_EO_Start
13809.348776800007,0.2441,35.66,146.08,0,Baseline_EO_Start
13809.647255700007,0.4273,59.21,138.58,0,Baseline_EO_Start
13809.954666100008,0.4543,68.59,150.98,0,Baseline_EO_Start
13810.237463000007,0.3961,52.49,132.51,0,Baseline_EO_Start
