lsl_time,tar,theta,alpha,artifact,unity_event_tag
5015.7180855999995,0.5879,0.00,0.00,0,
5015.9988680999995,0.5282,0.00,0.00,0,
5016.274183799999,0.5733,0.00,0.01,0,
5016.577206699999,0.7786,0.00,0.00,0,
5016.858990699999,0.8685,0.00,0.00,0,
5017.178402799999,0.7367,0.00,0.01,0,
5017.501483599999,0.7796,0.00,0.01,0,
5017.7786485999995,1.2580,0.00,0.00,0,
5018.0974897999995,1.9661,0.01,0.00,0,
5018.379796099999,1.8245,0.01,0.00,0,
5018.707750199999,1.2445,0.00,0.00,0,
5019.023473399999,0.9787,0.00,0.00,0,
5019.334704999999,0.8388,0.00,0.00,0,
5019.619631499999,0.7036,0.00,0.00,0,
5019.942513399999,0.6603,0.00,0.01,0,
5020.228934999999,0.6891,0.00,0.01,0,
5020.545358099999,0.8143,0.00,0.00,0,
5020.8637364999995,1.0272,0.00,0.00,0,
5021.139329599999,0.7871,0.00,0.00,0,
5021.472380799999,0.3286,0.00,0.01,0,
5021.742090899999,0.2674,0.00,0.01,0,
5022.064331299999,0.5543,0.00,0.01,0,
5022.389774999999,0.8909,0.00,0.01,0,
5022.685692699999,0.6431,0.00,0.01,0,
5022.970570699999,0.4470,0.00,0.01,0,
5023.296352799999,0.3321,0.00,0.01,0,
5023.6088924999995,0.2112,0.00,0.01,0,
5023.8931133999995,0.2934,0.00,0.01,0,
5024.213064899999,0.7448,0.00,0.00,0,
5024.525267199999,1.0566,0.01,0.01,0,
5024.809100699999,1.1570,0.01,0.01,0,
5025.136113299999,1.2593,0.01,0.00,0,
5025.411010399999,1.3965,0.00,0.00,0,
5025.7358140999995,1.4801,0.00,0.00,0,
5026.029748499999,1.1872,0.01,0.00,0,
5026.351762199999,0.8156,0.01,0.01,0,
5026.619787799999,0.5600,0.00,0.01,0,
5026.941523199999,0.4062,0.00,0.00,0,
5027.258067899999,0.4598,0.00,0.01,0,
5027.574252399999,0.5356,0.00,0.01,0,
5027.855643799999,0.7159,0.00,0.01,0,
5028.134436599999,0.9920,0.00,0.00,0,
5028.478831099999,1.0576,0.00,0.00,0,
5028.764365899999,1.2039,0.00,0.00,0,
5029.077929399999,1.2357,0.01,0.00,0,
5029.389810899999,0.9645,0.01,0.01,0,
5029.681186999999,0.8263,0.01,0.01,0,
5030.0077980999995,0.8814,0.01,0.01,0,
5030.322706799999,0.8555,0.00,0.01,0,
5030.604444399999,0.6701,0.00,0.00,0,
5030.922879499999,0.7381,0.00,0.01,0,
5031.237242499999,1.1368,0.01,0.00,0,
5031.521718699999,1.1461,0.00,0.00,0,
5031.840191199999,0.8726,0.00,0.00,0,
5032.123107999999,0.9509,0.00,0.00,0,
5032.451958399999,0.9993,0.00,0.00,0,
5032.724675499999,0.7536,0.00,0.00,0,
5033.056707299999,0.5339,0.00,0.00,0,
5033.371458899999,0.4834,0.00,0.01,0,
5033.655558799999,0.4635,0.00,0.01,0,
5033.971207899999,0.4884,0.00,0.01,0,
5034.257611399999,0.5404,0.00,0.01,0,
5034.573906899999,0.6060,0.00,0.01,0,
